C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_01_374.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_01_374.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_01_374.jpg, 0, 0, 0, 7.873056E-05
C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_03_539.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_03_539.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_03_539.jpg, 0, 0, 0, 7.779759E-05
C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_03_638.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_03_638.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_03_638.jpg, 0, 0, 0, 7.895386E-05
C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_03_758.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_03_758.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_03_758.jpg, 0, 0, 0, 7.883459E-05
C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_03_860.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_03_860.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_03_860.jpg, 0, 0, 0, 7.867629E-05
C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_03_966.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_03_966.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_03_966.jpg, 0, 0, 0, 7.797599E-05
C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_04_440.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_04_440.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_04_440.jpg, 0, 0, 0, 7.780288E-05
C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_04_543.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_04_543.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_04_543.jpg, 0, 0, 0, 7.898067E-05
C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_04_645.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_04_645.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_04_645.jpg, 0, 0, 0, 7.923903E-05
C:\Users\Can\Desktop\egitim\IMG\center_2021_06_16_17_44_04_756.jpg, C:\Users\Can\Desktop\egitim\IMG\left_2021_06_16_17_44_04_756.jpg, C:\Users\Can\Desktop\egitim\IMG\right_2021_06_16_17_44_04_756.jpg, 0, 0, 0, 7.800887E-05
